Time - Filtered	Amplitude - Filtered
44:54,9	2,83081
44:54,9	2,83029
44:54,9	2,8368
44:54,9	2,83941
44:55,0	2,84517
44:55,0	2,84697
44:55,0	2,85214
44:55,0	2,84749
44:55,0	2,84732
44:55,0	2,84534
44:55,0	2,84011
44:55,0	2,835
44:55,1	2,84092
44:55,1	2,83779
44:55,1	2,8368
44:55,1	2,83569
44:55,1	2,84244
44:55,1	2,84186
44:55,1	2,84645
44:55,1	2,84691
44:55,2	2,84685
44:55,2	2,8518
44:55,2	2,85377
44:55,2	2,85127
44:55,2	2,84645
44:55,2	2,84604
44:55,2	2,84697
44:55,2	2,84999
44:55,3	2,84976
44:55,3	2,84866
44:55,3	2,854
44:55,3	2,85412
44:55,3	2,85261
44:55,3	2,84889
44:55,3	2,85627
44:55,4	2,85953
44:55,4	2,859
44:55,4	2,86232
44:55,4	2,8608
44:55,4	2,85941
44:55,4	2,85174
44:55,4	2,84552
44:55,4	2,84755
44:55,5	2,85116
44:55,5	2,85185
44:55,5	2,85296
44:55,5	2,85528
44:55,5	2,85377
44:55,5	2,84999
44:55,5	2,84738
44:55,5	2,85325
44:55,6	2,85116
44:55,6	2,8536
44:55,6	2,85232
44:55,6	2,84773
44:55,6	2,84435
44:55,6	2,85075
44:55,6	2,85133
44:55,6	2,84953
44:55,7	2,85685
44:55,7	2,85662
44:55,7	2,85366
44:55,7	2,85034
44:55,7	2,85348
44:55,7	2,85017
44:55,8	2,85133
44:55,8	2,85464
44:55,8	2,86005
44:55,8	2,85674
44:55,8	2,85377
44:55,9	2,85645
44:55,9	2,85656
44:55,9	2,85331
44:55,9	2,84941
44:55,9	2,85232
44:55,9	2,85005
44:56,0	2,85034
44:56,0	2,85429
44:56,0	2,84935
44:56,0	2,84831
44:56,0	2,85807
44:56,0	2,85488
44:56,0	2,85708
44:56,0	2,86267
44:56,1	2,85958
44:56,1	2,85987
44:56,1	2,86348
44:56,1	2,86319
44:56,1	2,86022
44:56,1	2,85738
44:56,1	2,86232
44:56,1	2,85912
44:56,2	2,85424
44:56,2	2,85656
44:56,2	2,85563
44:56,2	2,86179
44:56,2	2,86017
44:56,2	2,86639
44:56,2	2,86057
44:56,2	2,86144
44:56,3	2,85801
44:56,3	2,86121
44:56,3	2,85761
44:56,3	2,86836
44:56,3	2,86726
44:56,3	2,86958
44:56,3	2,87197
44:56,4	2,8679
44:56,4	2,86644
44:56,4	2,87133
44:56,4	2,87104
44:56,4	2,86952
44:56,4	2,87022
44:56,4	2,87784
44:56,5	2,87057
44:56,5	2,86668
44:56,5	2,86505
44:56,5	2,86877
44:56,5	2,86854
44:56,5	2,86423
44:56,5	2,86441
44:56,5	2,86447
44:56,6	2,86557
44:56,6	2,86633
44:56,6	2,85708
44:56,6	2,8672
44:56,6	2,87354
44:56,6	2,87592
44:56,6	2,87574
44:56,6	2,87423
44:56,7	2,88295
44:56,7	2,87906
44:56,7	2,87638
44:56,7	2,87755
44:56,7	2,88132
44:56,7	2,88423
44:56,7	2,87819
44:56,7	2,87685
44:56,8	2,87859
44:56,8	2,86761
44:56,8	2,86859
44:56,8	2,86825
44:56,8	2,86621
44:56,8	2,86993
44:56,8	2,8729
44:56,8	2,87324
44:56,8	2,86941
44:56,9	2,87371
44:56,9	2,88115
44:56,9	2,88516
44:56,9	2,88173
44:56,9	2,88045
44:56,9	2,88005
44:56,9	2,87714
44:56,9	2,8715
44:57,0	2,87261
44:57,0	2,87743
44:57,0	2,88022
44:57,0	2,87755
44:57,0	2,87714
44:57,0	2,87667
44:57,0	2,88092
44:57,1	2,8815
44:57,1	2,88255
44:57,1	2,88086
44:57,1	2,87888
44:57,1	2,88109
44:57,1	2,87185
44:57,2	2,86127
44:57,2	2,87208
44:57,2	2,87319
44:57,2	2,87493
44:57,2	2,87412
44:57,2	2,88028
44:57,3	2,87534
44:57,3	2,87348
44:57,3	2,87313
44:57,3	2,87598
44:57,3	2,87772
44:57,3	2,87452
44:57,3	2,88516
44:57,4	2,89045
44:57,4	2,88731
44:57,4	2,88679
44:57,4	2,8869
44:57,4	2,88534
44:57,4	2,88063
44:57,4	2,87784
44:57,4	2,87958
44:57,5	2,87603
44:57,5	2,87981
44:57,5	2,87848
44:57,5	2,88162
44:57,5	2,88534
44:57,5	2,88644
44:57,5	2,88696
44:57,5	2,88783
44:57,6	2,8883
44:57,6	2,88632
44:57,6	2,88882
44:57,6	2,8851
44:57,6	2,89528
44:57,6	2,89801
44:57,6	2,89336
44:57,7	2,89615
44:57,7	2,89365
44:57,7	2,88917
44:57,7	2,89086
44:57,7	2,89097
44:57,7	2,88679
44:57,7	2,88278
44:57,7	2,88307
44:57,8	2,88243
44:57,8	2,88115
44:57,8	2,88656
44:57,8	2,88022
44:57,8	2,88789
44:57,9	2,88656
44:57,9	2,88638
44:57,9	2,88929
44:57,9	2,88789
44:57,9	2,889
44:57,9	2,8865
44:57,9	2,89272
44:58,0	2,89452
44:58,0	2,89167
44:58,0	2,89679
44:58,0	2,9015
44:58,0	2,8976
44:58,0	2,89411
44:58,0	2,89167
44:58,0	2,88923
44:58,1	2,889
44:58,1	2,88661
44:58,1	2,88685
44:58,1	2,89092
44:58,1	2,89359
44:58,1	2,89051
44:58,1	2,89301
44:58,1	2,89574
44:58,1	2,8933
44:58,2	2,88859
44:58,2	2,88516
44:58,2	2,88417
44:58,2	2,89045
44:58,2	2,89516
44:58,2	2,89249
44:58,2	2,89237
44:58,2	2,89504
44:58,3	2,89516
44:58,3	2,89347
44:58,3	2,89621
44:58,3	2,89876
44:58,3	2,89905
44:58,3	2,89963
44:58,3	2,89905
44:58,3	2,8976
44:58,4	2,89278
44:58,4	2,89562
44:58,4	2,89243
44:58,4	2,89126
44:58,4	2,89528
44:58,4	2,90272
44:58,4	2,90312
44:58,4	2,90208
44:58,5	2,90103
44:58,5	2,89748
44:58,5	2,89731
44:58,5	2,89655
44:58,5	2,88847
44:58,5	2,88958
44:58,5	2,89179
